Delay,Noise,Average Polar Orderparameter,Average Polar Orderparameter Squared,Average Polar Orderparameter Fourth Power,Variance,Binder,snapshotPath,timeseriesPath,Custom
3,0.545,0.4237963699199999,0.17961674788,0.0322717655519999,1.338472263054391e-05,0.6665675884873445,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5450.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5450.png,525
3,0.546,0.42432896336,0.1800848931199999,0.0324518262679999,2.982397382772506e-05,0.6664481738599248,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5460.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5460.png,526
3,0.547,0.42207282228,0.17815323184,0.0317441002239999,7.764532595572193e-06,0.666608627838157,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5470.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5470.png,527
3,0.548,0.411487375,0.1693337388799999,0.028681943712,1.1879095609318435e-05,0.6665733345808607,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5480.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5480.png,528
3,0.549,0.4183626915599999,0.17504796752,0.030656221656,2.0625830672360568e-05,0.6665096836414399,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5490.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5490.png,529
3,0.55,0.406270843723077,0.1650929322923077,0.0272802072246153,3.693383284680829e-05,0.6663666566005152,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5500.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5500.png,530
3,0.551,0.40571939924,0.1646207293999999,0.02710820684,1.249848033346712e-05,0.6665655314083623,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5510.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5510.png,531
3,0.552,0.4115504828799999,0.1693876952,0.02870160784,1.3895241238848222e-05,0.6665572692498073,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5520.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5520.png,532
3,0.553,0.40010061952,0.16009958184,0.0256441300359999,1.907609971216196e-05,0.6665073087041207,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5530.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5530.png,533
3,0.554,0.4031348737199999,0.16255598404,0.026449380572,3.825763075968047e-05,0.6663521520571016,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5540.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5540.png,534
3,0.555,0.3985871977199999,0.1588921566,0.025259579552,2.040241371767393e-05,0.6664968475863942,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5550.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5550.png,535
3,0.556,0.398129576,0.15852887552,0.025145112084,2.171623406019285e-05,0.6664848528404204,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5560.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5560.png,536
3,0.557,0.399496692,0.15963480792,0.0255068261799999,3.7201001057113325e-05,0.6663585654615904,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5570.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5570.png,537
3,0.558,0.3969896886,0.1576241256,0.024859937928,2.331274527503369e-05,0.6664711512341457,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5580.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5580.png,538
3,0.559,0.38923789696,0.1516342284,0.0230695959119999,0.0001280879701564,0.6655553589909355,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5590.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5590.png,539
3,0.56,0.3797318951641026,0.1442228089846154,0.0208155198076923,2.649677969437936e-05,0.6664214580857604,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5600.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5600.png,540
3,0.561,0.3887849109199999,0.15119944388,0.0228888493519999,4.573692092771364e-05,0.6662645671015994,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5610.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5610.png,541
3,0.562,0.37651434112,0.14177820104,0.020109648068,1.5151970972238082e-05,0.6665242234556782,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5620.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5620.png,542
3,0.563,0.37215808704,0.13851571692,0.019194382312,1.407517072776754e-05,0.6665315293558328,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5630.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5630.png,543
3,0.564,0.3847311740399999,0.14802981976,0.02191976544,1.1743481803244691e-05,0.6665611287603144,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5640.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5640.png,544
3,0.565,0.37392264656,0.1398386191599999,0.01956628384,2.047354956527525e-05,0.6664715839868693,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5650.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5650.png,545
3,0.566,0.3731252412799999,0.13923329044,0.019391931864,1.0844759741807096e-05,0.6665631086785974,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5660.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5660.png,546
3,0.567,0.3797577093599999,0.14424080676,0.02081964484,2.488894164584532e-05,0.6664386089163781,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5670.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5670.png,547
3,0.568,0.36738577444,0.13498276512,0.0182259885399999,1.0457859121432156e-05,0.6665634549368309,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5680.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5680.png,548
3,0.569,0.3747334544,0.1404504730399999,0.019740427856,2.5311193443039448e-05,0.6664285335893902,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5690.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5690.png,549
3,0.57,0.3757103184,0.1411687835538461,0.0199345600805128,1.0540201616754397e-05,0.6665674019104658,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5700.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5700.png,550
3,0.571,0.36881488512,0.13604460876,0.018519054216,2.0189273921195072e-05,0.6664700208313679,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5710.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5710.png,551
3,0.572,0.35023056524,0.12267992176,0.0150594077519999,1.8472931670079903e-05,0.666466349264837,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5720.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5720.png,552
3,0.573,0.3600318698399999,0.12965074016,0.016823606316,2.7792859513375845e-05,0.6663832545138639,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5730.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5730.png,553
3,0.574,0.34955798588,0.12224567288,0.014970591856,5.4887387517701947e-05,0.6660736235268883,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5740.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5740.png,554
3,0.575,0.34704916844,0.1204567084399999,0.0145163387319999,1.3583125104493776e-05,0.6665168801904215,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5750.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5750.png,555
3,0.576,0.35763379456,0.12793994964,0.0163877488959999,3.8018628615688055e-05,0.666277341042379,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5760.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5760.png,556
3,0.577,0.34065753212,0.11616948264,0.013553145184,0.0001219284499111,0.6652391010549126,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5770.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5770.png,557
3,0.578,0.34475966856,0.1188886836,0.0141485316,2.945453439893997e-05,0.6663362106209224,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5780.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5780.png,558
3,0.579,0.33181319696,0.1101159206799999,0.0121325321644,1.5923003184245554e-05,0.6664737902781936,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5790.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5790.png,559
3,0.58,0.3494902476769231,0.1221654968989743,0.0149349494995384,2.206367769731765e-05,0.6664312387573794,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5800.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5800.png,560
3,0.581,0.33522330024,0.112407590208,0.0126499035564,3.292918420280677e-05,0.6662858016832407,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5810.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5810.png,561
3,0.582,0.3411739000399999,0.11641425,0.013559085708,1.4619931496137606e-05,0.66649921375735,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5820.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5820.png,562
